hopse_NCI109 rc=1
gccn_MUTAG rc=0
hopse_MUTAG rc=0
gccn_alkane_carbonyl rc=0
gccn_NCI109 rc=0
sweep_MUTAG_8 rc=0
sweep_MUTAG_9 rc=0
sweep_MUTAG_2 rc=0
sweep_MUTAG_5 rc=0
sweep_MUTAG_7 rc=0
sweep_MUTAG_0 rc=0
sweep_MUTAG_6 rc=0
sweep_MUTAG_11 rc=0
sweep_MUTAG_4 rc=0
sweep_MUTAG_1 rc=0
sweep_MUTAG_3 rc=0
sweep_MUTAG_10 rc=0
sweep_NCI109_2 rc=0
sweep_NCI109_7 rc=0
sweep_NCI109_9 rc=0
sweep_NCI109_5 rc=0
sweep_NCI109_4 rc=0
sweep_NCI109_1 rc=0
sweep_NCI109_0 rc=0
sweep_NCI109_6 rc=0
sweep_NCI109_11 rc=0
sweep_NCI109_3 rc=0
sweep_NCI109_10 rc=0
sweep_NCI109_8 rc=0
